filename,folder #,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
DS250022Q28.wav,17,0.417018771,0.124095805,-501.5289307,103.5077515,32.885849,17.54596901,6.670867443,0.442682326,-14.7699585,-5.881501198,-11.28800964,-10.38910961,-8.329519272,-2.81633997,-4.120458126,-7.096522331,-1.665572166,-10.43687534,-7.426874161,-4.362022877,-4.093554497,-6.066311359,0.326608237,1.425865035,0,0,0,0,0.798384328,0.226375273,3.412970095,46.30629103,-2.346837402,8.218131997,neutral
DS250022Q29.wav,17,0.366941065,0.20605351,-454.9655151,119.1076431,36.22031784,28.0587101,10.73612595,-7.973419189,-21.70362091,-4.992217541,-16.89637947,-13.96660519,-8.171665192,-4.946883678,-5.719103813,-4.667733669,1.89852345,-10.45074654,-6.565779209,-3.76370573,-4.053992271,-6.001050472,0.403597958,1.061254972,0.007253086,0.007253086,0.007253086,0.007253086,0.806246854,0.514153803,1.0833217,23.38115875,-2.330379069,8.159868504,neutral
DS250022Q30.wav,17,0.384300619,0.040146515,-486.4609985,133.0683899,16.99672318,26.52633476,3.748702765,5.108772278,-24.04737663,1.221406221,-15.90636921,-14.0814209,-10.62710381,-2.82528758,-3.582726002,-8.990889549,6.140821934,-12.23953629,-5.138095379,-3.44105649,-4.112588882,-7.813797474,0.320168612,0.42128861,0.022322976,0.022322976,0.022322976,0.022322976,0.837128188,0.275092638,1.99670573,20.09107652,-0.43024018,8.547673936,neutral
DS250022Q31.wav,17,0.425475538,0.124594413,-494.3619385,104.2623215,27.88819695,22.22306061,12.98196316,0.670389473,-22.08267975,-5.900114059,-11.68677902,-7.432579041,-8.0022192,-4.144219398,-3.1221385,-7.935902596,-0.199504778,-8.892096519,-5.771155834,-4.041901112,-3.381665707,-6.573573112,0.312407237,0.303776494,0,0,0,0,0.79536166,0.408998836,1.107547275,17.49795652,-0.094655385,8.463159195,neutral
DS250022Q32.wav,17,0.403903902,0.086067677,-493.3922729,100.2708893,40.15545273,31.2412529,17.75850105,1.023045421,-18.7035141,-9.759925842,-12.80441761,-13.52813911,-9.693620682,-4.932462692,-3.452016354,-4.213082314,-1.491615057,-9.064526558,-6.729973316,-2.625473022,-3.588814259,-5.915842056,0.263885154,1.519005246,0.012165077,0.012165077,0.012165077,0.012165077,0.947197043,0.289468253,2.789494316,22.73272902,0.524818299,8.55058785,neutral
DS250022Q33.wav,17,0.402635187,0.054654282,-513.6616211,126.3009567,38.8454628,18.38637924,-1.770477772,-3.985715151,-17.06621552,-3.758323908,-14.42807961,-13.62516308,-8.225487709,-0.896306753,-3.081278563,-5.685102463,2.954573393,-8.947520256,-7.17658186,-5.199221134,-3.172564983,-6.19481039,0.430949621,2.774722624,0,0,0,0,1.065440919,0.423374452,2.640413856,25.57058205,-0.325129069,8.621045043,low
DS250022Q34.wav,17,0.4044348,0.036499299,-523.7675781,128.5033112,34.27939224,37.04809189,9.867367744,8.836187363,-27.42814064,-5.665293694,-17.72592926,-13.85221195,-11.98188114,-3.444740057,-1.815230489,-8.562373161,5.421964645,-12.26387978,-6.372572422,-4.604002953,-1.622847557,-5.694078445,0.470471438,1.172188467,0,0,0,0,0.947193983,0.419913655,4.106726662,27.46862549,0.572024777,8.625082954,high
DS250022Q35.wav,17,0.406500816,0.073946081,-495.1611938,125.2062836,23.5707016,28.94875145,11.99477386,0.556967556,-19.4847393,0.79975605,-14.8269186,-15.8368454,-11.31500053,-4.219614506,-4.594082832,-6.601682186,3.220541,-11.81329155,-6.003948689,-2.747726917,-2.795017242,-6.802890778,0.466725894,2.673018614,0.029343052,0.122281464,0.075812258,0.151624515,0.904459499,0.534918581,2.04675417,28.03824447,0.743947854,8.540323416,neutral
DS250022Q36.wav,17,0.377299845,0.561746538,-401.6730652,100.3938751,16.82152748,18.99820709,9.931471825,-7.749299049,-22.70707893,-7.963514805,-12.2570715,-9.673037529,-6.370443344,-3.90403986,-2.727356195,-4.301666737,0.458961219,-9.25803566,-9.856068611,-3.866647005,-2.166140079,-7.143825054,0.491289848,1.000426061,0.057938295,0.057938295,0.057938295,0.057938295,0.76222635,0.395421866,1.038065132,15.244527,1.723370931,8.585962236,high
DS250022Q37.wav,17,0.423763394,0.06158248,-505.2734985,94.22988892,28.52591896,28.25632477,16.75781631,1.298871756,-16.11629677,-12.19729996,-12.18271255,-9.006697655,-8.977440834,-6.646591187,-5.485151768,-6.319391727,-1.750388622,-7.668118477,-7.45413065,-3.793450356,-2.830240011,-6.006711483,0.46284115,2.151667955,0.015155519,0.094951195,0.044583221,0.133749663,0.946409847,0.469962095,5.985672881,29.33870527,1.432409392,8.523468031,high
