filename,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,folder #,Label
10-04.wav,0.449166685,0.041833255,-432.3117065,126.6583786,-21.25796127,27.48752975,-5.092336178,5.492730618,-16.5275135,-4.420366764,-5.571541309,-2.817787409,-6.797309399,-11.55894089,0.495457232,-5.238273144,4.258095264,-10.34886551,-1.582023859,-1.496606708,-6.876169205,-2.201405287,10,1
10-07.wav,0.368041962,0.309967518,-363.4989624,137.79039,-7.216519356,25.81317329,-8.352103233,-10.65252781,-28.63163757,-4.936939716,-19.27165222,-6.765628815,0.777058065,-7.550282955,-3.636214733,-2.274022102,6.626828194,-7.612933159,-0.595237851,-5.783691406,-0.894111454,-4.575788975,10,1
10-08.wav,0.385337293,0.207671314,-393.7878418,145.4033813,-7.628589153,28.51683235,-8.920032501,-8.606184959,-31.43697548,-4.11136961,-15.75965214,-3.355480909,-1.051095247,-8.306476593,-2.317481518,-4.272994041,7.157648563,-8.982933998,-1.726465225,-5.669342041,0.021163994,-4.673854351,10,1
10-09.wav,0.387429774,0.567130744,-364.229248,132.5290222,-7.762426376,17.7217865,-10.02510166,-11.90151405,-27.33484459,-5.57171154,-11.50759506,-5.269388199,-2.233669758,-5.950358868,-3.826720476,-2.670761347,5.571735382,-7.906293392,-1.993164778,-3.6119771,-0.081045195,-5.332123756,10,1
10-10.wav,0.376981318,0.257573187,-387.8644409,121.9066162,-3.644211054,21.8814106,-6.263172626,-6.67672205,-29.06839943,-7.646037579,-11.70996189,-4.692075253,-2.083041668,-6.096493244,-4.31959343,-3.586579084,7.014951706,-7.411159515,-1.508284569,-3.581606627,-1.143775105,-4.504491806,10,1
10-11.wav,0.397697449,0.444917113,-359.7799072,128.162262,-11.52445984,23.10504341,-0.392501384,-14.00235462,-29.25570297,-14.05628204,-10.50155735,-5.55718708,-0.185676664,-3.076856852,-3.631476164,-5.383741856,7.593286037,-6.415419579,-6.848730087,-1.644479275,-3.150430202,-3.739264011,10,1
10-13.wav,0.364697665,0.254600018,-357.4048767,139.6954041,-7.026436806,30.3362999,-12.50532532,-6.371662617,-33.87641525,-6.256524563,-16.29247665,-5.881691456,-2.28567481,-8.75510788,-4.979989052,-3.680620432,7.060875416,-9.31854248,0.92538774,-5.642091274,0.373197943,-4.748159409,10,1
10-14.wav,0.389043957,0.344484419,-379.3522034,112.7767944,-10.21134758,27.41739082,-9.393004417,-5.673111916,-29.59370232,-4.55492878,-11.1847868,-5.382555485,-2.042187214,-7.777421474,-2.757412434,-1.239198685,5.477627754,-8.003317833,0.028044796,-4.988278866,-0.004221818,-4.337511539,10,1
10-15.wav,0.376116306,0.30870375,-368.9326477,133.0597382,-11.95600891,33.14638901,-10.82889938,-7.825063705,-29.87841797,-2.826150656,-17.91060638,-5.947511673,-0.473968625,-9.754131317,-2.057963371,-2.816291809,5.521827221,-7.794851303,0.800430298,-5.728727341,0.682034254,-4.419952869,10,1
10-16.wav,0.392287254,0.278524488,-377.0728149,129.7644653,-3.557211161,26.98396873,-5.032339096,-4.274096012,-31.65158463,-8.401490211,-14.07309437,-4.383440495,-1.025155544,-8.333217621,-3.682285786,-2.124997139,6.999034882,-7.859768867,-1.57055223,-5.036837101,-0.022222519,-5.193847656,10,1
10-18.wav,0.357968658,0.516214609,-330.2714539,120.7593002,-2.598303318,21.18908691,-0.555478394,-16.03358459,-26.16590691,-9.295742989,-14.68251896,-6.843317986,-0.537418008,-7.959693909,-4.736776352,-1.774684429,3.022471428,-4.531683445,-2.797341347,-3.665178776,-0.733639181,-4.52155447,10,1
10-19.wav,0.444392174,0.043636627,-423.4881592,136.804718,-31.46224976,45.49106216,-12.56130791,5.921152592,-29.9720726,-7.154597282,-11.98921871,3.39404726,-0.749621332,-13.17612362,1.70790863,-7.369360924,7.391322136,-13.98070908,-1.451902986,-4.305897713,-4.108541012,-5.207859516,10,1
10-20.wav,0.44359833,0.06815201,-468.2376099,130.2222748,-1.413246989,23.92530823,1.086150765,6.110557556,-15.06651878,-5.993816376,-9.190649986,0.004228882,-1.255099654,-11.39912605,-2.388572931,-8.129553795,0.797579646,-6.115965843,-4.213044643,-5.81880188,-3.703389883,-1.998550177,10,1
10-23.wav,0.381625384,0.237862989,-369.597229,129.6628113,-2.300983906,25.20503426,-6.820602417,-5.784649849,-34.25454712,-10.52242374,-10.74587727,-5.562905788,-2.896467924,-7.780173779,-5.104943275,-2.547298908,7.068072319,-7.330631733,-1.381763577,-5.041800022,-0.320351928,-4.217759609,10,1
10-24.wav,0.362373143,0.240798876,-388.0597229,145.2795105,-6.815274239,25.54468727,-11.12387276,-0.162977457,-33.11175919,-11.30597401,-14.22708416,-2.188648224,-1.873023748,-7.331232071,-2.476761818,-5.036582947,5.909627438,-9.165575981,-0.130535573,-7.108204842,-2.361245632,-2.63037014,10,1
10-27.wav,0.379123151,0.227435768,-378.6055298,132.4435272,-1.272561073,22.59396553,-5.616084099,-7.694359303,-28.38216591,-9.486569405,-11.76016808,-5.024250984,-3.874684811,-6.004330635,-4.997238159,-4.123755932,7.162873745,-9.081000328,-2.331723928,-3.055245399,-2.151605844,-4.400569439,10,1
10-28.wav,0.368255466,0.287923515,-367.5491638,139.4184875,-3.43691206,25.9774437,-8.837116241,-12.12626743,-29.29919815,-3.952616215,-14.97012329,-8.65848732,-3.215937614,-7.61703968,-3.099878788,-4.305319786,4.196619987,-7.242635727,-1.331867456,-4.447363377,0.957343698,-4.958747387,10,1
10-29.wav,0.353447974,0.267217278,-379.3123169,141.358017,-8.709348679,28.74826813,-13.00852394,-4.724164486,-32.6027565,-6.50879097,-15.39592838,-4.961688519,-1.574915171,-8.74178791,-3.28042841,-4.167016506,8.049280167,-7.765934467,-1.569000483,-7.144348145,-1.034303546,-5.386372089,10,1
10-30.wav,0.389815509,0.212736368,-376.1282959,132.2505188,1.734275222,27.28004837,-10.98080063,-5.800186634,-27.44690704,-4.171627522,-14.85383701,-6.504077911,-3.112938643,-9.788525581,-1.748365521,-5.354862213,3.751842022,-5.711764336,-2.654080391,-6.549458981,-0.106381521,-5.194386005,10,1
10-31.wav,0.483135194,0.126773357,-411.2736206,114.3745041,-12.40516949,30.87104416,-5.609342098,0.847319007,-19.47274971,-1.691354036,-5.106430054,-4.274774551,-0.920760393,-10.42726994,-0.874948442,-3.950011253,2.404011011,-9.678711891,-3.477220535,-3.635133266,-5.719073296,-5.291861534,10,1
10-32.wav,0.384870082,0.336414069,-342.1324768,152.8187256,-16.42499924,27.62286186,-16.86597252,-5.397916794,-27.91653633,-7.694463253,-18.0069828,-4.698637009,-3.717013597,-8.844187737,-0.24170737,-7.296919823,5.021684647,-7.790498257,-3.304895639,-6.565196991,0.053095974,-6.272084713,10,1
10-33.wav,0.37942338,0.224965841,-367.949585,141.7253723,-0.360710561,27.96866798,-13.85374737,-8.549651146,-27.64549446,-5.346220016,-15.30156136,-6.466166019,-2.643177748,-9.39823246,-2.300951242,-4.7908535,4.232981682,-5.874586582,-2.837236166,-6.491418839,0.46601665,-5.913691044,10,1
10-34.wav,0.367549747,0.379012674,-351.1770325,131.3176422,0.198095649,28.11343384,-9.120794296,-13.56473637,-27.43535995,-5.716023922,-16.57276726,-8.781447411,-1.719577432,-10.40350056,-3.810881138,-0.791077137,3.055020571,-6.519958019,-0.689656794,-4.173779488,0.932821095,-5.91702652,10,1
10-35.wav,0.353613436,0.283033252,-344.2839661,148.6487732,-16.31620789,35.40323257,-16.30415154,-11.65407181,-35.13064194,-5.190835953,-13.34938812,-9.69217968,0.342983037,-12.3488369,0.179769352,-3.351009607,5.62129879,-7.547504425,-0.8940804,-3.461154938,-1.559050679,-2.765408754,10,1
10-36.wav,0.347036242,0.410357207,-337.3042297,138.9637299,-14.00643539,31.59370232,-9.54569149,-11.88150215,-35.33421326,-4.068494797,-14.01910019,-7.535098553,-2.659517288,-9.429953575,-3.028012991,-2.058502197,5.193872452,-8.963701248,0.295316637,-5.164575577,0.373596311,-5.625069618,10,1
11-01.wav,0.397171468,0.075828761,-399.9540405,133.5336304,-44.12833023,45.04300308,-12.90887547,16.41602707,-39.17013931,6.449205399,-14.66432476,-5.725435257,9.040934563,-3.230397224,8.327994347,-15.91350842,7.56749773,-12.5714674,-4.094172955,-3.757302046,0.039618444,-2.999876022,11,0
11-05.wav,0.47042191,0.032775249,-428.4129028,127.3263092,-17.57112122,30.4841671,-9.120475769,16.53735542,-25.59063911,0.466078043,-11.48745918,-4.863819122,2.326367617,-7.52596283,4.043698788,-11.70022297,4.795563698,-9.497488976,-2.345517635,-5.010468006,-4.60697937,-1.989255786,11,1
11-06.wav,0.445127308,0.0277333,-439.2809753,140.4102936,-16.80791664,33.94010544,-2.234809875,10.81213284,-30.4160881,-2.121988535,-13.76189709,-5.80752039,0.673849046,-8.302834511,3.041490555,-10.36997318,5.731513977,-8.518500328,-2.632280827,-5.475656509,-3.63869381,-2.180018663,11,1
