folder #,filename,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
3.9,4-09.wav,-0.62176,1.121783,0.010468,0.010468,0.010468,0.010468,0.75002,0.584378,0.90152,6.750183,8.061984,21.80009,0.500700831,0.057600327,-435.826,81.90552,2.144579,24.41711,13.99417,4.829914,3.07712,8.922153,4.646857,12.89545,1.028215,5.443506,-0.01241,3.857429,0.618663,2.850237,-4.60772,5.425615,-3.42787,2.680615,1
3.1,4-10.wav,-0.8153,0.640214,0.042983,0.042983,0.042983,0.042983,0.97541,0.676401,1.221763,4.877052,6.674841,21.82435,0.482969165,0.099278778,-408.095,83.13434,3.791152,24.72917,15.36644,3.392774,1.904233,3.91499,0.476761,12.54233,-1.14163,3.598474,1.352769,4.15948,1.187553,-0.20386,-2.50788,4.305698,-3.88992,3.823164,1
3.11,4-11.wav,-1.07015,3.82468,0.008359,0.047583,0.026814,0.187695,0.892187,0.652378,1.12877,20.52031,4.56642,21.70688,0.40940845,0.15534474,-355.646,98.48746,3.117317,36.79313,16.11512,-3.14157,-1.1927,1.611967,-1.92081,14.54168,-4.14151,4.405653,0.857903,4.073275,-0.09896,-2.70539,-3.49683,5.477064,-5.51374,3.937011,1
3.12,4-12.wav,-1.25878,1.128025,0.037892,0.042287,0.040089,0.080179,0.794216,0.714567,0.864517,6.353727,1.171507,21.79036,0.432171136,0.055799909,-393.19,101.5245,11.15305,33.44474,17.85049,3.809083,-0.84193,11.34209,1.433554,8.589249,-2.13949,6.403656,-0.26528,5.454115,1.323681,2.400642,-5.05293,5.50513,-6.1974,2.221383,1
3.13,4-13.wav,-1.75303,9.652143,0.038979,0.138514,0.065634,0.459436,1.008701,0.310825,1.994568,21.18273,-0.00183,21.81251,0.423454016,0.089294039,-367.383,103.4477,13.00262,32.993,15.04735,0.796822,-1.00294,4.28716,-2.14467,11.83947,-3.78126,5.697393,2.421113,3.849895,1.218076,1.641246,-4.7904,5.201987,-5.8583,2.955222,1
3.14,4-14.wav,-1.63545,13.53648,0.015106,0.062865,0.036467,0.474076,1.028109,0.370495,2.529467,42.15247,4.040674,18.4315,0.446574479,0.123036951,-344.392,105.0678,6.111492,27.70356,16.11197,2.412287,1.215685,5.401742,-2.41102,12.87174,-0.45841,5.012721,0.731354,5.49082,-0.25351,2.939633,-4.80324,5.67894,-4.81422,2.634366,1
3.15,4-15.wav,-1.61364,5.303112,0.011816,0.023673,0.017744,0.035489,0.948883,0.370495,1.845005,18.02878,4.641716,20.70359,0.352328718,0.263721555,-294.682,113.8636,-17.837,26.09729,15.77343,-5.73918,-2.29146,0.34285,-0.47488,15.07779,-10.2277,1.743448,-1.05978,3.694398,-0.29425,-1.58851,-3.83416,13.63601,-1.78854,6.655293,1
3.16,4-16.wav,-1.50693,9.701208,0.004706,0.007665,0.006557,0.039343,1.066388,0.687444,1.610006,59.71772,9.928495,16.28244,0.397086054,0.285060197,-363.066,76.01999,-13.0279,31.56685,11.18669,-8.74079,5.235132,0.591595,0.757475,18.94095,-5.14202,4.441,-5.10069,3.949152,1.225317,-5.05345,1.193226,4.523953,-6.56811,5.387381,1
3.17,4-17.wav,-1.54599,12.84143,0.011728,0.051682,0.025012,0.550274,1.06722,0.602395,1.958727,65.10042,10.66248,18.12503,0.451908946,0.109738678,-378.243,88.26529,9.214075,26.50368,16.23481,1.897579,1.139241,6.358761,-2.19177,13.1509,-0.78653,4.727854,-0.67657,5.028848,-0.85527,1.253915,-3.54448,4.78726,-5.14345,4.077984,1
3.18,4-18.wav,-1.58252,15.40163,0.010802,0.049586,0.025699,0.56538,1.072086,0.587477,3.349543,67.54143,11.09975,19.81046,0.458791614,0.239099115,-346.09,102.0827,-1.31013,23.81257,12.79231,-1.73289,-1.66144,2.347809,0.503133,13.0957,-2.69706,5.27259,-0.48085,3.930425,1.099015,-0.78175,-4.1034,5.181408,-4.69803,2.808058,1
